date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-01-11,13905.552916666666,333733.26999999996,15130.12,12341.7,926.0612336570553,2788.42,0.9190642847952736,1.0880631709268904,893.5220833333333,21444.53,1021.78,790.55,71.29254421528528,231.23000000000002,0.8744759961374594,1.1435419661797204,8545.787916666666,205098.90999999997,9629.25,7846.35,546.0114237057776,1782.8999999999996,0.8874821940095715,1.1267831701299633,50266.71458333334,1.2064011500000001e6,55798.18,45773.23,3175.213774320495,10024.949999999997,0.9008665620157027,1.1100423105531687
2021-01-12,13311.095416666665,319466.29,15144.15,11876.29,829.5439807402784,3267.8599999999988,0.8789595597419905,1.1377087704621356,892.2841666666668,21414.820000000003,1099.0,761.94,93.59802742796346,337.05999999999995,0.8119055201698515,1.2316704039538973,8517.833333333332,204427.99999999997,10566.68,7236.42,909.4584953489185,3330.26,0.8061030837815976,1.2405361300800284,49223.38791666666,1.1813613099999998e6,58597.85,43886.72,4114.791302521206,14711.129999999997,0.8400203747520884,1.1904473153941364
2021-01-13,12407.643333333332,297783.43999999994,14314.41,11477.29,882.0271787721473,2837.119999999999,0.8667939044175297,1.1536767793400466,852.4687500000001,20459.250000000004,1061.53,736.27,93.85283523143165,325.26,0.8030566729155089,1.2452421276439751,7600.302083333333,182407.25,10023.77,6068.12,1155.698167444511,3955.6500000000005,0.7582279006135748,1.3188646832842446,45518.692916666674,1.0924486300000001e6,56375.79,39352.76,4909.992056412134,17023.03,0.8074156107908497,1.2385195265428635
2021-01-14,11827.630833333335,283863.14,13599.1,10610.55,799.5215302042498,2988.550000000001,0.8697362938233658,1.1497737959215133,820.6037500000001,19694.49,949.74,744.14,61.73793209396579,205.60000000000002,0.864029892391602,1.1573673651869125,6792.706666666666,163024.96,8683.44,5916.24,785.4020584204083,2767.2000000000007,0.7822598724315094,1.2783475610115165,42375.17041666667,1.01700409e6,50235.45,38871.47,3318.671434386486,11363.979999999996,0.8435312198192048,1.1854925775175593
2021-01-15,11986.999166666666,287687.98,13184.57,10334.69,893.6186702582136,2849.879999999999,0.909168760654816,1.0999058076739945,863.2829166666666,20718.789999999997,973.84,771.42,58.717630155884095,202.42000000000007,0.8864730516991154,1.128065876433904,6757.844583333334,162188.27000000002,8093.78,5939.01,657.1867214315166,2154.7699999999995,0.8349429541367982,1.1976866144512175,44102.401249999995,1.05845763e6,50378.09,38579.58,3387.151302910959,11798.509999999995,0.8754282119468999,1.142298119198215
2021-01-16,11558.907083333334,277413.77,12534.97,10562.18,535.9191068620514,1972.789999999999,0.9221328079232207,1.0844424918056519,818.3566666666667,19640.56,953.52,728.23,64.36859277809235,225.28999999999996,0.8582480353497217,1.1651643333998623,6759.427500000001,162226.26,8285.17,5610.48,752.3080037790373,2674.6900000000005,0.8158465668175789,1.2257206693910097,42290.19708333334,1.0149647300000002e6,49163.07,37012.55,3433.313780939163,12150.519999999997,0.860202527696772,1.162516928051283
2021-01-17,10990.72375,263777.37,11829.07,10197.56,447.18997623140854,1631.5100000000002,0.9291283042538424,1.0762776200247959,778.9945833333333,18695.87,846.32,707.42,39.08512827141232,138.9000000000001,0.9204492193654094,1.086426039547772,6185.406666666667,148449.76,7385.4,5428.02,535.2622409758536,1957.3799999999992,0.8375181664725901,1.194003951235758,39595.54666666667,950293.1200000001,44210.36,35802.86,2266.468940137014,8407.5,0.8956169247811298,1.1165487970701082
2021-01-18,11243.004166666666,269832.1,12466.22,9933.24,670.276078862231,2532.9799999999996,0.9018775672711268,1.108797952504539,806.5658333333331,19357.579999999994,974.03,687.1,78.7074983399138,286.92999999999995,0.8280708328627795,1.2076261598815559,6257.356666666667,150176.56,7257.71,5138.87,567.6074007289888,2118.84,0.8621668083550689,1.1598683576185258,40692.677083333336,976624.25,46618.18,34622.55,3138.1566584132315,11995.629999999997,0.8728928731952499,1.1456159520921172
2021-01-19,10733.381249999999,257601.14999999997,11743.33,9171.6,931.3400308779607,2571.7299999999996,0.9139980950888716,1.094094183973946,778.7058333333334,18688.940000000002,853.36,658.06,64.99608001000266,195.30000000000007,0.9125173822693042,1.0958695356719,5790.403333333333,138969.68,6803.61,4478.78,756.5826874127861,2324.83,0.8510780796273351,1.1749803266439125,38910.979583333334,933863.51,43892.65,31675.19,4104.996170379486,12217.460000000003,0.886503311678227,1.1280273709377509
2021-01-20,10669.912083333335,256077.89000000004,11692.85,9049.85,939.1763924704089,2643.0,0.9125159463546813,1.095871260107618,820.1191666666668,19682.860000000004,897.6,709.77,62.29088773590834,187.83000000000004,0.9136799985145575,1.0944750915263328,6632.7283333333335,159185.48,7427.57,5348.19,742.2636896663486,2079.38,0.8929876572463583,1.119836306678222,40937.87291666667,982508.95,45368.78,34179.62,3807.8626366580434,11189.159999999996,0.9023357673860013,1.1082349122621225
2021-01-21,10621.064583333333,254905.55,11538.56,9188.92,830.5080928850995,2349.6399999999994,0.920484409088598,1.0863845059473989,783.0262499999999,18792.629999999997,856.82,707.67,47.04609939128623,149.1500000000001,0.9138748511939495,1.0942417319981292,6061.9920833333335,145487.81,6732.79,5294.78,459.31425472232314,1438.0100000000002,0.9003685074587702,1.110656349834395,39362.91333333332,944709.9199999998,42249.38,34780.16,2689.4659910386713,7469.219999999994,0.9316802597655475,1.0733295994182004
2021-01-22,10546.840416666666,253124.16999999998,11453.22,8909.08,908.612152549529,2544.1399999999994,0.9208624663340673,1.0859384941390622,771.4541666666668,18514.9,835.39,663.37,60.21568110923662,172.01999999999998,0.9234658861928761,1.0828770341724772,5746.908333333334,137925.80000000002,6352.38,4834.43,518.170355029969,1517.9499999999998,0.9046858552752407,1.1053560682627905,38514.73500000001,924353.6400000001,41896.84,32807.52,3169.568290806644,9089.32,0.919275415520598,1.0878132745817928
2021-01-23,10432.624166666665,250382.97999999995,11307.24,9302.07,695.5012491153516,2005.17,0.9226499275390515,1.0838346919586948,752.3979166666667,18057.55,828.36,682.66,47.019024084999856,145.70000000000005,0.9082982237996362,1.1009599862661326,5542.860833333332,133028.65999999997,6294.06,4604.35,556.7147617002154,1689.71,0.8806495065718045,1.1355255326183098,37376.25,897030.0,40458.09,32938.5,2647.132214233883,7519.5899999999965,0.9238263595735736,1.0824544998495034
2021-01-24,10579.362083333333,253904.69,11901.99,9173.38,981.7359584716968,2728.6100000000006,0.8888733802778639,1.1250196284282894,711.9504166666666,17086.809999999998,788.87,638.59,48.487621771295736,150.27999999999997,0.9024939681654348,1.1080406465571984,5494.441666666667,131866.6,6433.36,4527.08,652.4508826935069,1906.2799999999997,0.8540547500321243,1.1708851217821648,36704.56291666666,880909.5099999999,41131.95,31977.96,3155.6368500227586,9153.989999999998,0.892361361828619,1.1206222532436958
2021-01-25,11439.88,274557.12,12726.32,9818.14,1047.9949280079725,2908.1800000000003,0.8989150044946221,1.1124522285198797,720.9545833333332,17302.909999999996,806.7,621.92,58.83082554750909,184.7800000000001,0.8937084211396221,1.1189331736684758,5616.993749999999,134807.84999999998,6479.44,4600.22,586.1651183442996,1879.2199999999993,0.8668949399948143,1.153542319679455,38001.44583333333,912034.7,41728.08,31701.15,3547.03495643519,10026.93,0.9106924122397515,1.098065588951824
